Model,MAE,RMSE,R2
Linear Regression,33.252647276231706,45.71825492204615,0.7771581155314592
Decision Tree,3.8026762864444574,9.818892684807562,0.9897211965996049
Random Forest,3.7534426640545253,9.804230188520515,0.9897518722352717
XGBoost,3.850463594847004,9.644408918581325,0.9900832637067194
